Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Imre Ruzsa,Hungary,5,7,9,6,7,8,42,1,"Gold medal, Special prize (2)"
Ferenc Göndöcs,Hungary,,,,,,,39,2,Gold medal
Wolfgang Burmeister,German Democratic Republic,,,,,,,38,3,"Gold medal, Special prize"
Péter Komjáth,Hungary,,,,,,,38,3,Gold medal
Stanisław Szarek,Poland,,,,,,,38,3,Gold medal
Péter Frankl,Hungary,,,,,,,37,6,Gold medal
Sergei Gashkhov,Union of Soviet Socialist Republics,,,,,,,35,7,Gold medal
Vasiliy Erokhin,Union of Soviet Socialist Republics,,,,,,,32,8,Silver medal
Mikhail Cfasman,Union of Soviet Socialist Republics,,,,,,,31,9,Silver medal
Ervin Bajmóczi,Hungary,,,,,,,27,10,Silver medal
Radu Gologan,Romania,,,,,,,27,10,Silver medal
Aleksei Aleksandrov,Union of Soviet Socialist Republics,,,,,,,27,10,Silver medal
Dimitriy Logachev,Union of Soviet Socialist Republics,,,,,,,26,13,Silver medal
Tamás Móri,Hungary,,,,,,,25,14,Silver medal
David John Jackson,United Kingdom,,,,,,,25,14,Silver medal
Zoltán Füredi,Hungary,,,,,,,24,16,Silver medal
Oleg Lyashko,Union of Soviet Socialist Republics,,,,,,,24,16,Silver medal
Harald Englisch,German Democratic Republic,,,,,,,23,18,Silver medal
András Nagy,Hungary,,,,,,,23,18,Silver medal
Arnulf Möbius,German Democratic Republic,,,,,,,21,20,Bronze medal
*,Romania,,,,,,,21,20,Bronze medal
Lazar Milin,Yugoslavia,5,0,1,6,7,2,21,20,Bronze medal
Chris Jacobs,Netherlands,,,,,,,20,23,Bronze medal
*,United Kingdom,,,,,,,20,23,Bronze medal
Johann Hackl,Austria,1,6,0,4,7,1,19,25,Bronze medal
Thomas Jentsch,German Democratic Republic,,,,,,,18,26,Bronze medal
Józef Przytycki,Poland,,,,,,,18,26,Bronze medal
Aleksander Chistov,Union of Soviet Socialist Republics,,,,,,,18,26,Bronze medal
Zdzisław Otwinowski,Poland,,,,,,,17,29,Bronze medal
*,United Kingdom,,,,,,,17,29,Bronze medal
*,United Kingdom,,,,,,,17,29,Bronze medal
Reinhard Wobst,German Democratic Republic,,,,,,,16,32,Bronze medal
*,Romania,,,,,,,16,32,Bronze medal
Aleksander Ustaszewski,Poland,,,,,,,15,34,Bronze medal
*,Romania,,,,,,,15,34,Bronze medal
Otto Probst,Austria,5,3,0,5,0,1,14,36,Bronze medal
Heinrich Rolletschek,Austria,2,2,9,0,0,0,13,37,Bronze medal
Gerard Renardel de Lavalette,Netherlands,2,7,0,3,1,0,13,37,Bronze medal
*,Romania,,,,,,,13,37,Bronze medal
Per-Göran Andermo,Sweden,,,,,,,12,40,Bronze medal
Christian Gottlieb,Sweden,,,,,,,12,40,Bronze medal
Evgeniy Salinen,Union of Soviet Socialist Republics,,,,,,,12,40,Bronze medal
*,United Kingdom,,,,,,,12,40,Bronze medal
Aleksandar Zavaljevski,Yugoslavia,2,2,0,1,7,0,12,40,Bronze medal
Heinz Engl,Austria,2,3,1,5,0,0,11,45,Bronze medal
Jan Brychta,Czechoslovakia,4,3,0,3,0,1,11,45,Bronze medal
Gerhard Spens,German Democratic Republic,,,,,,,11,45,Bronze medal
Paweł Traczyk,Poland,,,,,,,11,45,Bronze medal
Herbert Tobisch,Austria,2,4,0,0,3,1,10,49,
*,Bulgaria,,,,,,,10,49,
Roger Krupiński,Poland,,,,,,,10,49,
Milan Milin,Yugoslavia,1,6,1,0,2,0,10,49,
Marko Tadić,Yugoslavia,2,2,1,5,0,0,10,49,
Jan Franců,Czechoslovakia,3,1,0,5,0,0,9,54,
*,France,,,,,,,9,54,
?,Mongolia,,,,,,,9,54,
*,Romania,,,,,,,9,54,
Karel Markelj,Yugoslavia,1,6,0,2,0,0,9,54,
*,Bulgaria,,,,,,,8,59,
Anton Černý,Czechoslovakia,3,0,0,4,1,0,8,59,
Štefan Sakáloš,Czechoslovakia,2,0,0,6,0,0,8,59,
*,German Democratic Republic,,,,,,,8,59,
Gunnar Mossberg,Sweden,,,,,,,8,59,
Miroslav Kmošek,Czechoslovakia,2,0,0,5,0,0,7,64,
*,France,,,,,,,7,64,
*,German Democratic Republic,,,,,,,7,64,
*,Romania,,,,,,,7,64,
*,United Kingdom,,,,,,,7,64,
Erich Steinbauer,Austria,2,0,0,4,0,0,6,69,
*,Bulgaria,,,,,,,6,69,
Karel Horák,Czechoslovakia,4,0,0,2,0,0,6,69,
*,France,,,,,,,6,69,
*,France,,,,,,,6,69,
Grzegorz Andrzejczak,Poland,,,,,,,6,69,
*,United Kingdom,,,,,,,6,69,
*,United Kingdom,,,,,,,6,69,
Franz Hofbauer,Austria,5,0,0,0,0,0,5,77,
*,France,,,,,,,5,77,
?,Mongolia,,,,,,,5,77,
*,Netherlands,,,,,,,5,77,
Mikael Torenfält,Sweden,,,,,,,5,77,
Dietmar Bader,Austria,1,0,0,3,0,0,4,82,
*,Bulgaria,,,,,,,4,82,
*,Bulgaria,,,,,,,4,82,
?,Cuba,,,,,,,4,82,
Helena Husová,Czechoslovakia,2,1,0,0,1,0,4,82,
*,Netherlands,,,,,,,4,82,
Ryszard Krupiński,Poland,,,,,,,4,82,
Ljubodrag Stević,Yugoslavia,3,0,0,1,0,0,4,82,
*,Bulgaria,,,,,,,3,90,
*,Bulgaria,,,,,,,3,90,
?,Cuba,,,,,,,3,90,
*,France,,,,,,,3,90,
?,Mongolia,,,,,,,3,90,
?,Mongolia,,,,,,,3,90,
?,Mongolia,,,,,,,3,90,
Helén Jonsson,Sweden,,,,,,,3,90,
Ann-Marie Mårtensson,Sweden,,,,,,,3,90,
Janez Cerar,Yugoslavia,1,0,0,0,2,0,3,90,
Imrich Vrťo,Czechoslovakia,1,0,0,0,1,0,2,100,
?,Mongolia,,,,,,,2,100,
*,Netherlands,,,,,,,2,100,
*,Netherlands,,,,,,,2,100,
*,Romania,,,,,,,2,100,
Zoran Majkić,Yugoslavia,2,0,0,0,0,0,2,100,
*,Bulgaria,,,,,,,1,106,
?,Cuba,,,,,,,1,106,
?,Cuba,,,,,,,1,106,
*,France,,,,,,,1,106,
*,France,,,,,,,1,106,
?,Mongolia,,,,,,,1,106,
Steven Dijk,Netherlands,,,,,,,1,106,
*,Netherlands,,,,,,,1,106,
?,Mongolia,0,0,0,0,0,0,0,114,
Hans Alberg,Sweden,0,0,0,0,0,0,0,114,
