Contestant,Country,P1,P2,P3,P4,P5,P6,Total,Rank,Award
Géza Kós,Hungary,7,7,7,7,7,7,42,1,Gold medal
Vladimir Roganov,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Stanislav Smirnov,Union of Soviet Socialist Republics,7,7,7,7,7,7,42,1,Gold medal
Jörg Jahnel,German Democratic Republic,7,7,7,6,7,7,41,4,Gold medal
Weimin Fang,People's Republic of China,7,7,7,7,6,7,41,4,Gold medal
Joseph Keane,United States of America,7,7,7,7,6,7,41,4,"Gold medal, Special prize"
Marius Dabija,Romania,7,7,7,5,7,7,40,7,Gold medal
Hao Zhang,People's Republic of China,7,7,4,7,7,7,39,8,Gold medal
Bruno Sauvalle,France,3,7,7,7,7,7,38,9,Gold medal
Ralph Costa Teixeira,Brazil,7,7,2,7,7,7,37,10,Gold medal
Pingli Li,People's Republic of China,7,7,3,7,6,7,37,10,Gold medal
Martin Härterich,Germany,7,7,1,7,7,7,36,12,Gold medal
David Grabiner,United States of America,7,7,1,7,7,7,36,12,Gold medal
Jeremy Kahn,United States of America,2,7,5,7,7,7,35,14,Gold medal
Iliya T. Kraichev,Bulgaria,7,7,1,5,7,7,34,15,Gold medal
Wieland Fischer,Germany,7,7,0,7,6,7,34,15,Gold medal
Nicolae I. Beli,Romania,7,7,0,7,7,6,34,15,Gold medal
Hà Anh Vũ,Vietnam,7,7,7,5,7,1,34,15,Gold medal
Georg Illies,Germany,4,7,1,7,7,7,33,19,Silver medal
Götz Wiesend,Germany,4,7,1,7,7,7,33,19,Silver medal
Dominic D. Joyce,United Kingdom,6,7,7,7,6,0,33,19,Silver medal
Harold Steinacker,Austria,5,7,0,7,6,7,32,22,Silver medal
Ravi Vakil,Canada,7,7,0,7,6,5,32,22,Silver medal
Gennadij Gluščenko,Union of Soviet Socialist Republics,2,7,5,5,7,6,32,22,Silver medal
John Overdeck,United States of America,7,7,1,7,6,4,32,22,Silver medal
Wolfgang Stöcher,Austria,7,7,4,7,6,0,31,26,Silver medal
Stefan Günther,German Democratic Republic,4,7,0,6,7,7,31,26,Silver medal
Mathias-Torsten Tok,German Democratic Republic,7,7,2,7,7,1,31,26,Silver medal
Anton Lunin,Union of Soviet Socialist Republics,7,7,1,7,7,2,31,26,Silver medal
Ivaylo Marinov Nedelchev,Bulgaria,7,7,1,7,3,5,30,30,Silver medal
Vladimír Kordula,Czechoslovakia,2,7,0,7,7,7,30,30,Silver medal
Peirre Meyer,France,2,7,0,7,7,7,30,30,Silver medal
Markus Lauer,Germany,3,7,5,7,6,2,30,30,Silver medal
Eric Müller,Germany,7,7,2,7,7,0,30,30,Silver medal
Yoav Yaffe,Israel,7,7,6,7,1,2,30,30,Silver medal
Iulian Grindeanu,Romania,3,7,7,5,7,1,30,30,Silver medal
Andrew David Smith,United Kingdom,3,7,1,5,7,7,30,30,Silver medal
Darien Lefkowitz,United States of America,3,7,2,4,7,7,30,30,Silver medal
Nguyễn Phương Tuấn,Vietnam,7,7,2,7,7,0,30,30,Silver medal
Steven Siu,Canada,7,7,1,1,6,7,29,40,Silver medal
Géza Tóth,Hungary,1,7,0,7,7,7,29,40,Silver medal
Shoni Dar,Israel,7,7,0,7,7,1,29,40,Silver medal
Chilali Mahmoud,Morocco,5,7,4,7,6,0,29,40,Silver medal
William Cross,United States of America,7,7,1,7,6,1,29,40,Silver medal
Petr Hájek,Czechoslovakia,0,7,0,7,7,7,28,45,Silver medal
